Number,Name,Description,Type,Estimate,Owner,Priority,Status,Created by,Modified by
62,Traffic light integration in Map,,Story,6,violetta.avkhukova,Must,Complete,jia.liu,violetta.avkhukova
23,Map Serlialization,"<p>Map.add() Intersections, Roads</p>

<p>Call mapGrid class</p>",Story,2,violetta.avkhukova,Must,Complete,santiago_anda,jia.liu
71,Load pre-made map before Start,,Story,,jia.liu,Must,Complete,jia.liu,jia.liu
72,Fix the bug of cancel map loading,,Story,4,jia.liu,Must,Complete,jia.liu,jia.liu
65,Simulation start trigger,,Story,2,jia.liu,Must,Complete,jia.liu,jia.liu
46,Set Grid Pane,"<p>get Grid Pane from Santiago</p>

<p>set it into simulation-mode Scene</p>",Story,2,jia.liu,Must,Complete,jia.liu,jia.liu
61,More ticker integration,,Story,4,violetta.avkhukova,Must,Complete,violetta.avkhukova,jia.liu
49,Make colors of traffic lights in Intersection change,,Story,8,violetta.avkhukova,Must,Complete,jia.liu,violetta.avkhukova
54,Set map-dimension dialogue,,Story,4,jia.liu,Must,Complete,jia.liu,jia.liu
20,Ticker,Basic,Story,,violetta.avkhukova,Must,Complete,santiago_anda,violetta.avkhukova
50,Change Lane constructor,fix bugs,Story,1,rawan.alrahili,Must,Complete,jia.liu,santiago_anda
22,Vehicle,"<p>Vehicle.stop()</p>

<p>Add Behaviour()</p>

<p>Set Priority()</p>

<p>Get Vehicle state()</p>",Story,6,rawan.alrahili,Must,Complete,santiago_anda,jia.liu
66,Fix Vehicle Turn bug,"<p style=""line-height: 19.6px; color: rgb(0, 0, 0); font-family: 'Helvetica Neue', Arial, Helvetica; font-size: 14px;""> </p>",Story,4,rawan.alrahili,Must,Complete,jia.liu,jia.liu
68,Fix arrow size,,Story,2,rawan.alrahili,Could,Complete,jia.liu,jia.liu
16,Vehicle and Car Class,Attributes and Methods,Story,4,rawan.alrahili,Must,Complete,santiago_anda,jia.liu
70,Add javaDoc,,Story,2,jia.liu,Must,Complete,jia.liu,jia.liu
25,readTrafficLight,,Story,6,rawan.alrahili,Must,Complete,rawan.alrahili,jia.liu
19,Map & Simulation Class,Attributes &amp; Methods,Story,,santiago_anda,Must,Complete,santiago_anda,violetta.avkhukova
53,Curve animation,Make vehicle turn,Story,4,santiago_anda,Should,Complete,jia.liu,santiago_anda
12,Assign stories to TM's,please assign,Story,2,santiago_anda,Must,Complete,santiago_anda,jia.liu
3,MVC research,learn mvc,Story,6,jia.liu,Should,Complete,jia.liu,jia.liu
6,Create backbone of model in java,,Story,4,violetta.avkhukova,Must,Complete,violetta.avkhukova,jia.liu
2,Initial Report,Test,Story,,,Must,Complete,santiago_anda,santiago_anda
15,Road Class,Attributes and methods,Story,4,violetta.avkhukova,Must,Complete,santiago_anda,jia.liu
14,Lane Class,"Attributes, Methods",Story,4,violetta.avkhukova,Must,Complete,santiago_anda,jia.liu
10,Build Initial Prototype,Demo version,Story,,,Could,Complete,santiago_anda,santiago_anda
13,Prepare Group Presentation,,Story,6,yakubu.aliyu_doma,Must,Complete,santiago_anda,jia.liu
18,Coordinates & Traffic Light,Attributes &amp; Methods,Story,4,yakubu.aliyu_doma,Must,Complete,santiago_anda,jia.liu
57,"Lane Decorator and getAngle(PreviousLane, Current Lane)","<p>We need to decorate the lane so we can extend a GUI functionality that returns the angle which a car must turn depending on the previous lane and current lane.</p>

<p>For example if <em>previouslane</em> moving direction is EAST and <em>currentlane</em> is SOUTH then the method should return 90</p>

<p>if previouslane is SOUTH and current is WEST, it should return 180.</p>

<p>And so on for all cases.</p>

<p> </p>

<p>Lane l = new Lane(……...)</p>

<p>decoratedLane dl = new decorateLane(l)</p>

<p>dl.getAngle(previouslane,current) should return integer<br />
 </p>",Story,4,yakubu.aliyu_doma,Could,Complete,santiago_anda,santiago_anda
21,Intersection,"<p>Implement Validations</p>

<p>Give options for the car</p>",Story,4,jia.liu,Must,Complete,santiago_anda,jia.liu
24,The animation of traffic light changing colors,System overall test,Story,8,yakubu.aliyu_doma,Must,Complete,santiago_anda,jia.liu
59,Add state to lane and be able to draw a disabled road,"<p>This functionality will allow us to disable a road (Road Closed)</p>

<p>It should show up in the map and the car should’nt turn there….</p>

<p> </p>

<p>It’s part of road management capabilites</p>

<p>Use Gimp the source file is attached</p>",Story,4,yakubu.aliyu_doma,Should,Complete,santiago_anda,santiago_anda
56,cars turn randomly,"<p>Cars turning</p>

<p>GUI</p>",Story,4,yakubu.aliyu_doma,Must,Complete,yakubu.aliyu_doma,jia.liu
58,Turn Method,"<p>Integrate a method from JavaFX which will make a car turn in an arc path. the starting point is the end of the lane and the end point is the start of the next lane.</p>

<p>Pleas integrate it with the moveVehicleGUI function and you can ask the car if it’s state is “turning” which we can assign for now an integer of value 3</p>

<p>For example</p>

<p> </p>

<p>if(state==3)</p>

<p>&#123;</p>

<p>//write your arc path moving logic</p>

<p>&#125;</p>",Story,8,yakubu.aliyu_doma,Should,Complete,santiago_anda,santiago_anda
34,A way of keeping track of all traffic lights,"Traffic light control pattern, etc.",Story,4,violetta.avkhukova,Must,Complete,jia.liu,jia.liu
32,Scene,SimulationMode,Story,,,,Complete,jia.liu,jia.liu
26,JavaFX & Scene Builder,,Story,8,jia.liu,Should,Complete,jia.liu,jia.liu
67,Test more than car,,Story,2,rawan.alrahili,Must,Complete,jia.liu,jia.liu
37,Non resizable,Do not allow grid resize,Story,2,santiago_anda,Must,Complete,jia.liu,jia.liu
38,Map dimensions,Implement properly map dimensions,Story,4,santiago_anda,Must,Complete,jia.liu,jia.liu
40,Arrows for lanes,Arrows that show map direction on GUI,Story,4,santiago_anda,Must,Complete,jia.liu,jia.liu
51,Grid pane,Give a GP to JIA,Story,2,santiago_anda,Must,Complete,jia.liu,santiago_anda
42,SimulationMode Scene,"add new features (speed, map dimension, cars controller)",Story,6,jia.liu,,Complete,jia.liu,jia.liu
44,Draw intersections,,Story,4,santiago_anda,Must,Complete,jia.liu,jia.liu
60,pre-made map loading,,Story,6,jia.liu,Must,Complete,jia.liu,jia.liu
96,Introduction and Review,,Story,4,yakubu.aliyu_doma,Must,In progress,violetta.avkhukova,violetta.avkhukova
97,Implementation & Evaluation: Vehicle movement and Vehicle class,,Story,4,rawan.alrahili,Must,In progress,violetta.avkhukova,violetta.avkhukova
98,"Implementation & Evaluation: Simulation screen, Teamwork section",,Story,4,jia.liu,Must,In progress,violetta.avkhukova,violetta.avkhukova
99,"Implementation & Evalulation: Traffic Lights, fix on GUI movement, Map make mode",,Story,4,violetta.avkhukova,Must,In progress,violetta.avkhukova,violetta.avkhukova
100,"Implementation & Evaluation: All GUIs for the Map, and Coordinates, MapGrid, Lanes, Roads, etc.","<p>All model stuff like:</p>

<ul>
 <li>Coordinates (simple x, y pair)</li>
 <li>MapGrid (2d array)</li>
 <li>Component interface, how its used for Intersections and Roads</li>
 <li>the Map class, and how it works with the MapGrid </li>
 <li>The roads, and how they  have a start and end coordinate</li>
 <li>The lanes and how they have a start and end coordinate</li>
</ul>

<p>And talk about the GUI:</p>

<ul>
 <li>How the GUI is drawn, each cell</li>
 <li>With the LayoutGUI class, each decorator, etc.</li>
 <li>Evolution of the vehicle movement (cars didnt turn, now they turn really well, how cars used to not stay in their lanes, didn’t work with the Ticker)</li>
</ul>",Story,4,santiago_anda,Must,In progress,violetta.avkhukova,violetta.avkhukova
101,Generate JavaDoc pages once finished,,Story,1,violetta.avkhukova,Should,In progress,violetta.avkhukova,violetta.avkhukova
